Predicted,Actual
3061.379,3097.04
584.9850000000001,592.98
2411.4959999999996,2398.36
3066.4610000000002,3064.66
3035.9919999999997,3012.91
1053.6829999999998,1022.93
1428.7609999999997,1431.57
8488.978000000001,8039.92
2205.874,2226.75
496.36500000000007,492.18
4912.812,4827.35
3655.8480000000004,3726.49
2311.372,2313.84
4881.790000000001,4868.56
4079.703,3930.51
1296.6259999999997,1292.67
2135.413,2140.74
1050.8600000000001,1053.82
1376.9229999999998,1375.42
9105.958999999999,8896.81
9222.644,9038.88
6139.321000000001,6228.57
2655.6949999999997,2677.65
603.125,594.43
10740.661000000002,10835.58
264.235,257.67
2715.6549999999997,2744.14
883.847,893.61
5858.336,5950.82
3919.03,4041.91
1422.078,1425.46
3682.685,3679.91
1661.9219999999998,1633.27
1434.74,1437.25
1914.65,1889.48
4098.696,4163.7
2841.814,2856.6
2947.9530000000004,2953.56
9204.939,9004.67
1472.53,1487.76
3213.7380000000003,3224.85
1255.9240000000002,1256.14
1561.402,1558.96
4246.13,4264.27
1415.382,1412.33
2439.8120000000004,2431.48
2803.522,2764.72
1809.386,1753.03
1351.1299999999999,1349.0
16454.099,17013.97
13746.007000000001,12678.57
10231.262999999999,10218.17
14010.996,14389.22
515.645,473.99
6322.842,6351.86
1805.0099999999998,1792.49
3578.8,3603.27
3935.297,3934.04
3996.1600000000008,3983.2
7259.241,7143.47
4226.191000000001,4157.7
989.0400000000002,987.14
426.9170000000001,431.48
140.376,128.04
2061.5460000000003,2018.93
4363.132,4289.35
1562.326,1539.68
3787.291,3687.65
2097.0690000000004,2068.14
6907.709,6898.79
4137.281,4153.1
1370.337,1418.35
2047.2099999999998,2073.09
2149.453,2164.39
967.164,997.57
12998.197,13079.39
1559.835,1568.11
1252.0619999999997,1292.69
3770.1759999999995,3988.81
848.4889999999999,848.73
3147.8490000000006,3118.69
7606.684000000001,7633.86
6949.020000000001,6845.56
1424.5729999999999,1432.75
4431.95,4227.75
3068.196,3039.13
5305.212,5252.89
2089.994,2088.58
406.041,410.34
12163.23,12538.39
988.0350000000002,970.86
1502.3620000000003,1515.67
6772.322,6818.61
9506.507999999998,9079.81
3676.8059999999996,3682.74
232.52999999999997,225.82
2708.531,2741.0
3460.464,3490.4
780.86,782.08
8361.130000000001,8010.0
758.7239999999999,726.78
1346.6649999999997,1337.07
4735.337000000001,5004.67
8655.312000000002,8590.75
737.5449999999998,704.54
1759.7899999999997,1737.96
2001.3229999999999,2007.25
1553.309,1580.78
1724.4479999999999,1719.38
2179.013,2162.98
1689.8290000000002,1716.65
895.3609999999999,897.69
334.15600000000006,323.09
